"jurisdiccion_aplicacion","grupo_etario","sexo","nombre_dosis_generica",cantidad
"Buenos Aires","12-17","F","1ra","656259"
"Buenos Aires","12-17","F","2da","493442"
"Buenos Aires","12-17","F","Adicional","2337"
"Buenos Aires","12-17","F","Refuerzo","464"
"Buenos Aires","12-17","F","Unica","10"
"Buenos Aires","12-17","M","1ra","653937"
"Buenos Aires","12-17","M","2da","482457"
"Buenos Aires","12-17","M","Adicional","2039"
"Buenos Aires","12-17","M","Refuerzo","373"
"Buenos Aires","12-17","M","Unica","5"
"Buenos Aires","18-29","F","1ra","1438528"
"Buenos Aires","18-29","F","2da","1178843"
"Buenos Aires","18-29","F","Adicional","16990"
"Buenos Aires","18-29","F","Refuerzo","20306"
"Buenos Aires","18-29","F","Unica","8588"
"Buenos Aires","18-29","M","1ra","1336448"
"Buenos Aires","18-29","M","2da","1017072"
"Buenos Aires","18-29","M","Adicional","12846"
"Buenos Aires","18-29","M","Refuerzo","8517"
"Buenos Aires","18-29","M","Unica","8621"
"Buenos Aires","18-29","S.I.","1ra","63"
"Buenos Aires","18-29","S.I.","2da","59"
"Buenos Aires","18-29","S.I.","Refuerzo","1"
"Buenos Aires","30-39","F","1ra","1181742"
"Buenos Aires","30-39","F","2da","1055846"
"Buenos Aires","30-39","F","Adicional","21996"
"Buenos Aires","30-39","F","Refuerzo","45592"
"Buenos Aires","30-39","F","Unica","4117"
"Buenos Aires","30-39","M","1ra","1122169"
"Buenos Aires","30-39","M","2da","950929"
"Buenos Aires","30-39","M","Adicional","17126"
"Buenos Aires","30-39","M","Refuerzo","18325"
"Buenos Aires","30-39","M","Unica","4096"
"Buenos Aires","30-39","S.I.","1ra","58"
"Buenos Aires","30-39","S.I.","2da","40"
"Buenos Aires","30-39","S.I.","Refuerzo","1"
"Buenos Aires","40-49","F","1ra","1104728"
"Buenos Aires","40-49","F","2da","1035470"
"Buenos Aires","40-49","F","Adicional","38736"
"Buenos Aires","40-49","F","Refuerzo","51849"
"Buenos Aires","40-49","F","Unica","1942"
"Buenos Aires","40-49","M","1ra","1056734"
"Buenos Aires","40-49","M","2da","962886"
"Buenos Aires","40-49","M","Adicional","28878"
"Buenos Aires","40-49","M","Refuerzo","21875"
"Buenos Aires","40-49","M","Unica","2098"
"Buenos Aires","40-49","S.I.","1ra","34"
"Buenos Aires","40-49","S.I.","2da","28"
"Buenos Aires","40-49","S.I.","Refuerzo","1"
"Buenos Aires","50-59","F","1ra","861012"
"Buenos Aires","50-59","F","2da","835063"
"Buenos Aires","50-59","F","Adicional","106583"
"Buenos Aires","50-59","F","Refuerzo","60671"
"Buenos Aires","50-59","F","Unica","881"
"Buenos Aires","50-59","M","1ra","806887"
"Buenos Aires","50-59","M","2da","773353"
"Buenos Aires","50-59","M","Adicional","92924"
"Buenos Aires","50-59","M","Refuerzo","26203"
"Buenos Aires","50-59","M","Unica","990"
"Buenos Aires","50-59","S.I.","1ra","10"
"Buenos Aires","50-59","S.I.","2da","7"
"Buenos Aires","50-59","S.I.","Adicional","2"
