"count","jurisdiccion_aplicacion","fecha_aplicacion","nombre_dosis_generica"
1530,"Buenos Aires","2020-12-29","1ra"
2566,"Buenos Aires","2020-12-30","1ra"
1,"Buenos Aires","2020-12-30","2da"
53,"Buenos Aires","2020-12-31","1ra"
6,"Buenos Aires","2021-01-01","1ra"
64,"Buenos Aires","2021-01-02","1ra"
7,"Buenos Aires","2021-01-03","1ra"
2392,"Buenos Aires","2021-01-04","1ra"
2823,"Buenos Aires","2021-01-05","1ra"
1,"Buenos Aires","2021-01-05","2da"
3662,"Buenos Aires","2021-01-06","1ra"
7370,"Buenos Aires","2021-01-07","1ra"
8685,"Buenos Aires","2021-01-08","1ra"
4463,"Buenos Aires","2021-01-09","1ra"
188,"Buenos Aires","2021-01-10","1ra"
6736,"Buenos Aires","2021-01-11","1ra"
7548,"Buenos Aires","2021-01-12","1ra"
6914,"Buenos Aires","2021-01-13","1ra"
6552,"Buenos Aires","2021-01-14","1ra"
6360,"Buenos Aires","2021-01-15","1ra"
2846,"Buenos Aires","2021-01-16","1ra"
11,"Buenos Aires","2021-01-17","1ra"
4522,"Buenos Aires","2021-01-18","1ra"
3774,"Buenos Aires","2021-01-19","1ra"
73,"Buenos Aires","2021-01-19","2da"
2395,"Buenos Aires","2021-01-20","1ra"
99,"Buenos Aires","2021-01-20","2da"
1342,"Buenos Aires","2021-01-21","1ra"
1394,"Buenos Aires","2021-01-21","2da"
1145,"Buenos Aires","2021-01-22","1ra"
910,"Buenos Aires","2021-01-22","2da"
310,"Buenos Aires","2021-01-23","1ra"
542,"Buenos Aires","2021-01-23","2da"
3,"Buenos Aires","2021-01-24","1ra"
4296,"Buenos Aires","2021-01-25","1ra"
294,"Buenos Aires","2021-01-25","2da"
3078,"Buenos Aires","2021-01-26","1ra"
426,"Buenos Aires","2021-01-26","2da"
2317,"Buenos Aires","2021-01-27","1ra"
387,"Buenos Aires","2021-01-27","2da"
285,"Buenos Aires","2021-01-28","1ra"
5613,"Buenos Aires","2021-01-28","2da"
334,"Buenos Aires","2021-01-29","1ra"
6589,"Buenos Aires","2021-01-29","2da"
156,"Buenos Aires","2021-01-30","1ra"
5062,"Buenos Aires","2021-01-30","2da"
2,"Buenos Aires","2021-01-31","1ra"
50,"Buenos Aires","2021-01-31","2da"
1340,"Buenos Aires","2021-02-01","1ra"
6120,"Buenos Aires","2021-02-01","2da"
1460,"Buenos Aires","2021-02-02","1ra"
6824,"Buenos Aires","2021-02-02","2da"
1299,"Buenos Aires","2021-02-03","1ra"
6366,"Buenos Aires","2021-02-03","2da"
1137,"Buenos Aires","2021-02-04","1ra"
6645,"Buenos Aires","2021-02-04","2da"
1478,"Buenos Aires","2021-02-05","1ra"
7017,"Buenos Aires","2021-02-05","2da"
515,"Buenos Aires","2021-02-06","1ra"
5051,"Buenos Aires","2021-02-06","2da"
140,"Buenos Aires","2021-02-07","1ra"
12,"Buenos Aires","2021-02-07","2da"
7341,"Buenos Aires","2021-02-08","1ra"
1022,"Buenos Aires","2021-02-08","2da"
6645,"Buenos Aires","2021-02-09","1ra"
773,"Buenos Aires","2021-02-09","2da"
5121,"Buenos Aires","2021-02-10","1ra"
665,"Buenos Aires","2021-02-10","2da"
386,"Buenos Aires","2021-02-11","1ra"
7704,"Buenos Aires","2021-02-11","2da"
724,"Buenos Aires","2021-02-12","1ra"
5052,"Buenos Aires","2021-02-12","2da"
186,"Buenos Aires","2021-02-13","1ra"
1822,"Buenos Aires","2021-02-13","2da"
5,"Buenos Aires","2021-02-14","2da"
814,"Buenos Aires","2021-02-15","1ra"
36,"Buenos Aires","2021-02-15","2da"
467,"Buenos Aires","2021-02-16","1ra"
42,"Buenos Aires","2021-02-16","2da"
3170,"Buenos Aires","2021-02-17","1ra"
558,"Buenos Aires","2021-02-17","2da"
18217,"Buenos Aires","2021-02-18","1ra"
7435,"Buenos Aires","2021-02-18","2da"
20842,"Buenos Aires","2021-02-19","1ra"
4420,"Buenos Aires","2021-02-19","2da"
16105,"Buenos Aires","2021-02-20","1ra"
1270,"Buenos Aires","2021-02-20","2da"
14786,"Buenos Aires","2021-02-21","1ra"
1,"Buenos Aires","2021-02-21","2da"
23131,"Buenos Aires","2021-02-22","1ra"
146,"Buenos Aires","2021-02-22","2da"
25800,"Buenos Aires","2021-02-23","1ra"
130,"Buenos Aires","2021-02-23","2da"
28856,"Buenos Aires","2021-02-24","1ra"
551,"Buenos Aires","2021-02-24","2da"
15995,"Buenos Aires","2021-02-25","1ra"
4423,"Buenos Aires","2021-02-25","2da"
14833,"Buenos Aires","2021-02-26","1ra"
1924,"Buenos Aires","2021-02-26","2da"
874,"Buenos Aires","2021-02-27","1ra"
546,"Buenos Aires","2021-02-27","2da"
235,"Buenos Aires","2021-02-28","1ra"
6,"Buenos Aires","2021-02-28","2da"
23734,"Buenos Aires","2021-03-01","1ra"
882,"Buenos Aires","2021-03-01","2da"
24023,"Buenos Aires","2021-03-02","1ra"
478,"Buenos Aires","2021-03-02","2da"
13839,"Buenos Aires","2021-03-03","1ra"
532,"Buenos Aires","2021-03-03","2da"
34727,"Buenos Aires","2021-03-04","1ra"
7736,"Buenos Aires","2021-03-04","2da"
1,"Buenos Aires","2021-03-04","Refuerzo"
36953,"Buenos Aires","2021-03-05","1ra"
6607,"Buenos Aires","2021-03-05","2da"
28118,"Buenos Aires","2021-03-06","1ra"
2589,"Buenos Aires","2021-03-06","2da"
5194,"Buenos Aires","2021-03-07","1ra"
1,"Buenos Aires","2021-03-07","2da"
36896,"Buenos Aires","2021-03-08","1ra"
204,"Buenos Aires","2021-03-08","2da"
28767,"Buenos Aires","2021-03-09","1ra"
184,"Buenos Aires","2021-03-09","2da"
50477,"Buenos Aires","2021-03-10","1ra"
244,"Buenos Aires","2021-03-10","2da"
47621,"Buenos Aires","2021-03-11","1ra"
14122,"Buenos Aires","2021-03-11","2da"
35683,"Buenos Aires","2021-03-12","1ra"
16576,"Buenos Aires","2021-03-12","2da"
1272,"Buenos Aires","2021-03-13","1ra"
15168,"Buenos Aires","2021-03-13","2da"
631,"Buenos Aires","2021-03-14","1ra"
219,"Buenos Aires","2021-03-14","2da"
35404,"Buenos Aires","2021-03-15","1ra"
939,"Buenos Aires","2021-03-15","2da"
32654,"Buenos Aires","2021-03-16","1ra"
540,"Buenos Aires","2021-03-16","2da"
35531,"Buenos Aires","2021-03-17","1ra"
508,"Buenos Aires","2021-03-17","2da"
23874,"Buenos Aires","2021-03-18","1ra"
22470,"Buenos Aires","2021-03-18","2da"
25877,"Buenos Aires","2021-03-19","1ra"
15064,"Buenos Aires","2021-03-19","2da"
11605,"Buenos Aires","2021-03-20","1ra"
6391,"Buenos Aires","2021-03-20","2da"
10650,"Buenos Aires","2021-03-21","1ra"
139,"Buenos Aires","2021-03-21","2da"
15135,"Buenos Aires","2021-03-22","1ra"
2563,"Buenos Aires","2021-03-22","2da"
22284,"Buenos Aires","2021-03-23","1ra"
2814,"Buenos Aires","2021-03-23","2da"
11121,"Buenos Aires","2021-03-24","1ra"
44,"Buenos Aires","2021-03-24","2da"
24204,"Buenos Aires","2021-03-25","1ra"
6027,"Buenos Aires","2021-03-25","2da"
29051,"Buenos Aires","2021-03-26","1ra"
2149,"Buenos Aires","2021-03-26","2da"
27871,"Buenos Aires","2021-03-27","1ra"
1989,"Buenos Aires","2021-03-27","2da"
7971,"Buenos Aires","2021-03-28","1ra"
4,"Buenos Aires","2021-03-28","2da"
27621,"Buenos Aires","2021-03-29","1ra"
114,"Buenos Aires","2021-03-29","2da"
41273,"Buenos Aires","2021-03-30","1ra"
216,"Buenos Aires","2021-03-30","2da"
45996,"Buenos Aires","2021-03-31","1ra"
157,"Buenos Aires","2021-03-31","2da"
41845,"Buenos Aires","2021-04-01","1ra"
82,"Buenos Aires","2021-04-01","2da"
34780,"Buenos Aires","2021-04-02","1ra"
41,"Buenos Aires","2021-04-02","2da"
25194,"Buenos Aires","2021-04-03","1ra"
58,"Buenos Aires","2021-04-03","2da"
31880,"Buenos Aires","2021-04-04","1ra"
1,"Buenos Aires","2021-04-04","2da"
49096,"Buenos Aires","2021-04-05","1ra"
383,"Buenos Aires","2021-04-05","2da"
38548,"Buenos Aires","2021-04-06","1ra"
1420,"Buenos Aires","2021-04-06","2da"
79275,"Buenos Aires","2021-04-07","1ra"
1491,"Buenos Aires","2021-04-07","2da"
81753,"Buenos Aires","2021-04-08","1ra"
297,"Buenos Aires","2021-04-08","2da"
87342,"Buenos Aires","2021-04-09","1ra"
515,"Buenos Aires","2021-04-09","2da"
36654,"Buenos Aires","2021-04-10","1ra"
84,"Buenos Aires","2021-04-10","2da"
26131,"Buenos Aires","2021-04-11","1ra"
1,"Buenos Aires","2021-04-11","2da"
48175,"Buenos Aires","2021-04-12","1ra"
366,"Buenos Aires","2021-04-12","2da"
45038,"Buenos Aires","2021-04-13","1ra"
589,"Buenos Aires","2021-04-13","2da"
50161,"Buenos Aires","2021-04-14","1ra"
624,"Buenos Aires","2021-04-14","2da"
48602,"Buenos Aires","2021-04-15","1ra"
605,"Buenos Aires","2021-04-15","2da"
39261,"Buenos Aires","2021-04-16","1ra"
427,"Buenos Aires","2021-04-16","2da"
20658,"Buenos Aires","2021-04-17","1ra"
80,"Buenos Aires","2021-04-17","2da"
14514,"Buenos Aires","2021-04-18","1ra"
26283,"Buenos Aires","2021-04-19","1ra"
158,"Buenos Aires","2021-04-19","2da"
25524,"Buenos Aires","2021-04-20","1ra"
423,"Buenos Aires","2021-04-20","2da"
34684,"Buenos Aires","2021-04-21","1ra"
430,"Buenos Aires","2021-04-21","2da"
49229,"Buenos Aires","2021-04-22","1ra"
381,"Buenos Aires","2021-04-22","2da"
54777,"Buenos Aires","2021-04-23","1ra"
493,"Buenos Aires","2021-04-23","2da"
41463,"Buenos Aires","2021-04-24","1ra"
18,"Buenos Aires","2021-04-24","2da"
36454,"Buenos Aires","2021-04-25","1ra"
47,"Buenos Aires","2021-04-25","2da"
57112,"Buenos Aires","2021-04-26","1ra"
180,"Buenos Aires","2021-04-26","2da"
52153,"Buenos Aires","2021-04-27","1ra"
453,"Buenos Aires","2021-04-27","2da"
44463,"Buenos Aires","2021-04-28","1ra"
344,"Buenos Aires","2021-04-28","2da"
39559,"Buenos Aires","2021-04-29","1ra"
667,"Buenos Aires","2021-04-29","2da"
19286,"Buenos Aires","2021-04-30","1ra"
421,"Buenos Aires","2021-04-30","2da"
11204,"Buenos Aires","2021-05-01","1ra"
47,"Buenos Aires","2021-05-01","2da"
18835,"Buenos Aires","2021-05-02","1ra"
33771,"Buenos Aires","2021-05-03","1ra"
28860,"Buenos Aires","2021-05-03","2da"
43225,"Buenos Aires","2021-05-04","1ra"
30137,"Buenos Aires","2021-05-04","2da"
51225,"Buenos Aires","2021-05-05","1ra"
14132,"Buenos Aires","2021-05-05","2da"
42907,"Buenos Aires","2021-05-06","1ra"
13103,"Buenos Aires","2021-05-06","2da"
31623,"Buenos Aires","2021-05-07","1ra"
11089,"Buenos Aires","2021-05-07","2da"
12310,"Buenos Aires","2021-05-08","1ra"
5482,"Buenos Aires","2021-05-08","2da"
11806,"Buenos Aires","2021-05-09","1ra"
851,"Buenos Aires","2021-05-09","2da"
23873,"Buenos Aires","2021-05-10","1ra"
1385,"Buenos Aires","2021-05-10","2da"
25192,"Buenos Aires","2021-05-11","1ra"
1151,"Buenos Aires","2021-05-11","2da"
5421,"Buenos Aires","2021-05-12","1ra"
69583,"Buenos Aires","2021-05-12","2da"
4332,"Buenos Aires","2021-05-13","1ra"
74383,"Buenos Aires","2021-05-13","2da"
4214,"Buenos Aires","2021-05-14","1ra"
76984,"Buenos Aires","2021-05-14","2da"
10813,"Buenos Aires","2021-05-15","1ra"
34604,"Buenos Aires","2021-05-15","2da"
9052,"Buenos Aires","2021-05-16","1ra"
35907,"Buenos Aires","2021-05-16","2da"
17752,"Buenos Aires","2021-05-17","1ra"
48269,"Buenos Aires","2021-05-17","2da"
51381,"Buenos Aires","2021-05-18","1ra"
7911,"Buenos Aires","2021-05-18","2da"
52614,"Buenos Aires","2021-05-19","1ra"
4258,"Buenos Aires","2021-05-19","2da"
53356,"Buenos Aires","2021-05-20","1ra"
3858,"Buenos Aires","2021-05-20","2da"
10097,"Buenos Aires","2021-05-21","1ra"
36515,"Buenos Aires","2021-05-21","2da"
6658,"Buenos Aires","2021-05-22","1ra"
25935,"Buenos Aires","2021-05-22","2da"
9813,"Buenos Aires","2021-05-23","1ra"
14466,"Buenos Aires","2021-05-23","2da"
20407,"Buenos Aires","2021-05-24","1ra"
5952,"Buenos Aires","2021-05-24","2da"
17286,"Buenos Aires","2021-05-25","1ra"
2158,"Buenos Aires","2021-05-25","2da"
29656,"Buenos Aires","2021-05-26","1ra"
11660,"Buenos Aires","2021-05-26","2da"
18290,"Buenos Aires","2021-05-27","1ra"
11869,"Buenos Aires","2021-05-27","2da"
15279,"Buenos Aires","2021-05-28","1ra"
50227,"Buenos Aires","2021-05-28","2da"
37086,"Buenos Aires","2021-05-29","1ra"
21500,"Buenos Aires","2021-05-29","2da"
45004,"Buenos Aires","2021-05-30","1ra"
8184,"Buenos Aires","2021-05-30","2da"
71649,"Buenos Aires","2021-05-31","1ra"
5462,"Buenos Aires","2021-05-31","2da"
73388,"Buenos Aires","2021-06-01","1ra"
2860,"Buenos Aires","2021-06-01","2da"
85559,"Buenos Aires","2021-06-02","1ra"
2502,"Buenos Aires","2021-06-02","2da"
