"Provincia","Distribuidas total","Apl 1°","Apl 2°","Apl única","Apl adicional","Apl 1º refuerzo","Apl 2º refuerzo","Apl 3º refuerzo *","Aplicadas total"
"Buenos Aires",50931099,16046636,14754503,90746,1064381,8774559,2995478,838296,44564599
"CABA",10161492,2960424,2873474,30093,272516,2348278,1417383,564726,10466894
"Catamarca",1442126,406869,377078,2599,21367,280167,114455,32282,1234817
"Chaco",3430287,1014806,851153,11530,43843,414962,115939,28658,2480891
"Chubut",1646967,510965,447497,3647,27422,228964,77304,26419,1322218
"Corrientes",3297364,1036036,902445,11306,20290,621323,256690,80810,2928900
"Córdoba",9872022,3395017,3137942,38447,205324,1829768,597709,157722,9361929
"Entre Ríos",3641355,1244850,1128149,14058,84125,630140,183499,49243,3334064
"Formosa",2257744,583489,525262,7298,256178,303945,94268,23328,1793768
"Jujuy",1997979,704810,626550,1812,61672,381344,146545,39435,1962168
"La Pampa",1077062,335135,324234,2922,42263,240107,93559,22889,1061109
"La Rioja",1126897,364567,339663,3190,38362,210448,77037,20392,1053659
"Mendoza",5401758,1758438,1576773,11669,54056,929305,346116,120133,4796490
"Misiones",3438856,964148,820946,7633,133266,286922,45481,5951,2264347
"Neuquén",2094396,633150,582565,10739,29614,354151,123454,36118,1769791
"Río Negro",2297239,687168,630139,4157,88933,352218,112943,34384,1909942
"Salta",3263635,1201055,1042864,4118,56372,573234,186527,45535,3109705
"San Juan",2131679,709841,642214,7396,39024,345127,87171,20302,1851075
"San Luis",1400432,456378,436568,6230,50273,327044,135030,26305,1437828
"Santa Cruz",1144982,304251,276045,2382,20025,148763,50208,14306,815980
"Santa Fe",9757986,3238652,3056967,26710,406150,2018818,836721,201033,9785051
"Santiago del Estero",2860967,965555,907993,17420,74929,529820,111202,17698,2624617
"Tierra del Fuego",548113,158826,148092,375,8636,81148,30492,10677,438246
"Tucumán",4531755,1501749,1348081,7802,73594,631367,207604,63903,3834100
"Totales",129754192,41182815,37757197,324279,3172615,22841922,8442815,2480545,116202188
